Rqt,Priority,Function,Requirement
710575,High,,Produce a report based on: employee/non employee training history transcripts.
710576,Medium,,Produce a report based on: training session class rosters.
710577,Medium,,"Produce a report based on: training needs assessment by competency, skill and organization unit."
710578,Medium,,Produce a report based on: training costs by organization unit.
710579,Medium,,"Produce a report based on: training event history (sessions offered, attendees trained and locations used by course/program)."
710580,Medium,,"Create performance evaluation reports for trainers using any system metrics (e.g., average evaluation scores, number of hours  taught, etc.)."
710581,Medium,,Create detailed and summary ad-hoc and regularly scheduled reports utilizing user defined criteria.
710582,Medium,,Produce report for employees training categorized by job function.
710583,Medium,,Report scheduled training sessions and anticipated attendance list.
,,,"Section:HRP-Learning Management, Self-Service (15 Reqs)"
710584,Medium,,"Provide link from enrollees' email to a web page for the enrollee to: cancel attendance - generates an email via workflow to the  employee's training coordinator, the training session coordinator, and the employee's supervisor."
710585,Medium,,Provide link from enrollees' email to a web page for the enrollee to: ask a question about the training session - generates an  email to the training session coordinator.
710586,Medium,,Provide link from enrollees' email to a web page for the enrollee to: ask a question of their training coordinator - generates an  email via workflow.
710587,Medium,,Allow for employees to request training using a standard Web based browser.
710588,Medium,,Provide ability for employees and non-employees to request training from their manager.
710589,Medium,,"Provide ability for employees and non-employees to view and search the course catalog and schedule of training sessions, and  register for available courses."
710590,Medium,,Provide ability for employees to inquire on the status of the Education Assistance Request they submit.
710591,High,,"Allow employees and non-employees to query online all classes, courses, programs, and outside training: for those they have  completed, with test scores, hours/credits and dates."
710592,High,,"Allow employees and non-employees to query online all classes, courses, programs, and outside training: in which they have  enrolled."
710593,High,,"Allow employees and non-employees to query online all classes, courses, programs, and outside training: that teach / impart a  specific skill, competency or certification."
710594,High,,"Allow employees and non-employees to query online all classes, courses, programs, and outside training: which are needed for  career / job / level of certification progression (classes and courses to address a skills / certification gap)."
710595,Medium,,Allow for employees to request travel authorization linked to an approved or requested training request.
710596,Medium,,Respond to web-based assessments for class participants.
710597,Medium,,Allow employee to be able to request tuition reimbursement via Employee Self Service and track the status of the request and  payment.
710598,Medium,,Provide ability to indicate if the person is current on their dues through ESS.
,,,"Section:HRP-Leave Management, General (24 Reqs)"
710599,High,,Track all leave accrued and taken by type of eligible leave and reason.
710600,High,,Display current leave accrual rates and leave balances for each employee while time is being entered or reviewed.
710601,High,,Allow changes of leave data entered for the period and edit changes against the employee leave balances.
710602,High,,Establish beginning leave balances once employees become eligible to earn leave.
710603,Medium,,Adjust leave balances for the calendar year and record adjustments for audit trail purposes.
710604,Medium,,Future date leave transactions for processing during the appropriate pay period.
710605,High,,Process paid and unpaid leave.
710606,High,,"Provide for a variety of user defined leave classifications such as annual leave, administrative leave, sick leave, including user  defined descriptions, business rules, and approval requirements."
710607,Medium,,Support the use of unlimited number of leave types with or without balance accruals and associated user defined business rules  that may vary by agency or organization unit.
710608,High,,Maintain history of all leave accounting actions to include: modifications to leave definitions.
710609,High,,Maintain history of all leave accounting actions to include: accrual calculations.
710610,High,,Maintain history of all leave accounting actions to include: leave taken.
710611,High,,Maintain history of all leave accounting actions to include: leave claimed.
710612,High,,Maintain history of all leave accounting actions to include: leave paid.
710613,High,,Maintain history of all leave accounting actions to include: leave adjustments.
710614,High,,Maintain history of all leave accounting actions to include: leave balances.
710615,High,,Maintain history of all leave accounting actions to include: donated leave transactions.
710616,High,,"Maintain history of all leave accounting actions to include: donated leave balances (donor, receiving agency)."
710617,Medium,,Interface leave accounting information to: Workers' compensation.
710618,Medium,,Interface leave accounting information to: Consolidated Public Retirement Board.
710619,Medium,,Interface leave accounting information to: agency labor tracking systems (such as DOT).
710620,Medium,,Forward applicable leave balances to Consolidated Public Retirement Board upon separation with the State for the conversion of  service credits within the retirement system.
710621,High,,Provide online access to all employee leave data with appropriate security.
710622,Medium,,Add future leave plans.
,,,"Section:HRP-Leave Management, Leave Tracking (73 Reqs)"
710623,Medium,,"Track leave accrued, taken, payoff, lost, donated, received from donors, and payout (on termination) by type of eligible leave."
,,,"Section:HRP-Leave Management, Leave Tracking (73 Reqs)"
710624,Medium,,"Track impact to service dates, service hours, etc. based on leave type, including probationary period."
710625,Medium,,"Allow user to define whether leave is accumulated while on leave by leave type. (e.g., continue to accrue vacation while on sick  leave)."
710626,Medium,,Track FMLA (State and Federal) hours and eligibility by employee.
710627,Medium,,Retain leave accounting balances for a user-specified time period from the date the employee separates from State employment.
710628,Medium,,Restore sick leave balance if a previous employee returns within a user defined time period.
710629,Medium,,"Allow for the carryover of annual leave, sick leave, and comp time based on user-specified business rules."
710630,High,,Maintain and track military leave accrual and usage based on user defined business rules.
710631,Medium,,Track Doctor's release requirement and date received within HIPAA guidelines.
710632,High,,Maintain and track employee status that reflects that they are on leave of absence by LOA type.
710633,Medium,,Allow a user defined option to automatically classify leave as counting toward FMLA limits by a user-specified period by leave  type.
710634,Medium,,Create notifications to employees and agencies of leave that will be lost.
710635,Medium,,Check FMLA and Military Leave eligibility when entering leave time (federal and state).
710636,Medium,,Automatically project leave available balance as of the date of the initial leave requested date.
710637,Medium,,"Prepopulate employee time capture templates with default values from employee work schedule, job class, shift, project,  position, and approved leave requests."
710638,Medium,,"Provide ability to restrict leave entered in timesheets to approved leave requests based on user business rules that may vary by  leave type, agency, or organization unit."
710639,Medium,,Provide the ability for authorized users to enter data and save timesheet (including leave to be taken in the reporting period)  without finalizing or submitting for approval (save as a work in progress).
710640,Medium,,Provide the ability for authorized users to retrieve timesheets that have been saved but not finalized/submitted (and adjust leave  to be taken while editing against leave balances).
710641,Medium,,"Automatically edit time reported against pre-established work schedules and approved leave requests, and highlight exceptions  for employee and supervisor review based on user defined business rules that may vary by agency, or organization unit."
710642,Medium,,Support receipt and processing of information on docked time as reconciling item based on user defined business rules that may  vary by agency when leave balances are inadequate.
710643,High,,Automatically update leave balances as leave recorded on employee timesheets.
710644,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: annual leave (vacation)."
,,,"Section:HRP-Leave Management, Leave Tracking (73 Reqs)"
710645,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: sick leave (with or without pay)."
710646,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: workers' compensation."
710647,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: comp time."
710648,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: adoption."
710649,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: administrative leave (with or without pay)."
710650,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: bereavement."
710651,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: personal leave without pay."
710652,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: educational leave (with or without pay)."
710653,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: assault injury."
710654,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: special leave with or without pay (teachers)."
710655,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: blood donation leave."
710656,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: red cross leave."
710657,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: court leave."
,,,"Section:HRP-Leave Management, Leave Tracking (73 Reqs)"
710658,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: family and medical leave (FMLA) (with or without pay)."
710659,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: family sick leave (non-FMLA)."
710660,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: holidays."
710661,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: military leave (with or without pay)."
710662,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: elected or directed special leave (educational) with or  without pay."
710663,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: adverse weather leave."
710664,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: voting leave."
710665,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: governor requested/directed."
710666,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: jury duty."
710667,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: unauthorized leave without pay."
710668,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: authorized leave without pay."
710669,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: serving attendant leave (annual, comp and sick)."
,,,"Section:HRP-Leave Management, Leave Tracking (73 Reqs)"
710670,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: military family leave."
710671,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: donated annual or sick leave."
710672,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: disciplinary leave."
710673,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: leave for grievance activity."
710674,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: organ donation."
710675,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: investigative leave."
710676,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: Parental Leave Act (PLA) without pay."
710677,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: Disaster Relief leave."
710678,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: Emergency Medical Services / Fireman."
710679,Medium,,"Track the accruals, limits, eligibility, usage, value, and payment of leave using leave types and leave reason codes (e.g. leave  balances and calculations need to be controlled at a combination of leave type and leave reason). Reason types should be user- specified and only available for specified leave types. Leave types include: other user defined leave types."
710680,Medium,,"Track leave accrual balance and accrual rate information as near real-time as available, including leave balance reductions (for  situations where maximum balance has been exceeded), rollovers at anniversary and other predetermined dates, compensatory  leave, and exchanged/shared leave time information based on user defined business rules."
710681,Medium,,Maintain and track computation of leave earned and the usage of leave (whether paid or unpaid).
710682,Medium,,"Maintain and track FMLA hours accrued for time worked over the standard work week of 35, 37.5, or 40 hours per week or  standard work schedule (114 hrs, 21 day rotation schedule)."
710683,Medium,,Track sick leave and family sick leave balances and other information to include: deductions from leave balance.
710684,Medium,,Track sick leave and family sick leave balances and other information to include: requests for sick leave balance made online.
,,,"Section:HRP-Leave Management, Leave Tracking (73 Reqs)"
710685,Medium,,Track sick leave and family sick leave balances and other information to include: medical verification (within HIPAA guidelines).
710686,Medium,,Track sick leave and family sick leave balances and other information to include: sick leave balance taken for user-specified time  period.
710687,Medium,,Maintain and track historic information regarding leave usage.
710688,Medium,,Automatically notify employees and designated supervisors of approaching maximum leave balances based on user defined  business rules and thresholds for various leave types.
710689,Medium,,Automatically notify employees and designated supervisors of leave balances lost based on user defined business rules for  various leave types.
710690,High,,Alert user specified employees entering time when usage of leave will take the balance below leave balance accrual threshold.
710691,Medium,,Maintain and track user-specified comp time based on: exempt earn comp time for hours exceeding normal work week on a 1  hour worked for 1 hour of comp time earned basis.
710692,Medium,,Maintain and track user-specified comp time based on: non-exempt earned comp time.
710693,Medium,,Maintain and track user-specified comp time based on: FLSA code.
710694,Medium,,Define maximum accrual by comp time leave type.
710695,Medium,,Track information on forfeited/expired leave (e.g. excess vacation).
,,,"Section:HRP-Leave Management, Leave Requests / Authorizations (20 Reqs)"
710696,Medium,,Flag pending leave requests for re-processing when projection of future balances not adequate to cover request.
710697,Medium,,Support ability to authorize leave without pay based on user defined business rules.
710698,Medium,,Support the ability for authorized users to create and update leave requests for others based on authorized user defined  business rules that may vary by agency and organization unit.
710699,Medium,,Automatically notify employee of need to approve leave requests prepared by others based on user defined business rules that  may vary by agency.
710700,Medium,,"Support automated review and approval processes for leave based on user defined business rules, including variations by leave  type (e.g. allow designation of special review and approval requirements for certain leave types)."
710701,Medium,,Create and maintain a user-specified multi-step approval/workflow for review and approval of all leave transactions.
710702,Medium,,Support on-line and batch editing of employee leave requests based on leave balances and time before leave is to be taken.
710703,Medium,,Provide the ability to include alternate review and approval processes for leave buyout based on user defined business rules.
710704,Medium,,Track leave requests by: expected start of leave.
710705,Medium,,Track leave requests by: expected end of leave.
710706,Medium,,Track leave requests by: actual start of leave.
,,,"Section:HRP-Leave Management, Leave Requests / Authorizations (20 Reqs)"
710707,Medium,,Track leave requests by: actual end of leave.
710708,Medium,,Track leave requests by: date leave requested.
710709,Medium,,Track leave requests by: date approved or rejected.
710710,Low,,Track leave requests by: reviewer/approver.
710711,Medium,,Track leave requests by: reason why leave rejected.
710712,High,,"Prohibit leave requests that are in excess of leave balance in the case of paid leave, or policy maximums in the case of unpaid  leave. Leave thresholds are user-definable by type of leave (e.g., sick leave, FMLA maximums)."
710713,Medium,,Provide the ability for authorized users to grant (cancel) leave and adjust accrual amounts for various leave types for a group of  employees.
710714,Medium,,Provide an automated method to request the use of leave.
710715,Medium,,"Present attendance pattern information to leave request reviewers based on user defined business rules by agency, organization  code unit, job class, employee, or supervisor."
,,,"Section:HRP-Leave Management, Leave Sharing (20 Reqs)"
710716,Medium,,"Support authorized donation, return, and acceptance of accrued leave (shared leave) balances to another employee in the same  or different agency based on user defined business rules."
710717,Medium,,"Support shared leave, leave banks, sick leave, and military leave pool statewide programs based on user defined business rules."
710718,Medium,,Provide the ability to convert donated leave from hours to dollars.
710719,Medium,,Automatically validate leave reported on timesheet against shared and pooled leave available once accrued balances are  exhausted based on user defined business rules that may vary by agency or organization unit.
710720,Medium,,Allow the transfer of donated leave according to user-specified rules such as: requirements for transferring leave (active  employee).
710721,Medium,,Allow the transfer of donated leave according to user-specified rules such as: requirements for accepting leave (in anticipation of  taking leave with or without pay).
710722,Medium,,Allow the transfer of donated leave according to user-specified rules such as: requirements for using donated leave.
710723,Medium,,Allow the transfer of donated leave according to user-specified rules such as: requirements for retroactively using donated leave  (used to pay unpaid leave after date applied for).
710724,Medium,,Allow the transfer of donated leave according to user-specified rules such as: transferable in minimal increments (1 hour).
710725,Medium,,Allow the transfer of donated leave according to user-specified rules such as: types of eligible leave.
710726,Medium,,Allow the transfer of donated leave according to user-specified rules such as: disposition of unused donated leave.
710727,Medium,,Allow the transfer of donated leave according to user-specified rules such as: minimum sick/annual leave balance.
710728,Medium,,"Enter an application request for donated leave, including the time period requested."
,,,"Section:HRP-Leave Management, Leave Sharing (20 Reqs)"
710729,Medium,,Maintain and track leave donations linked to donated leave requests.
710730,Medium,,"Control, maintain and track the use of donated leave based on user defined criteria to include: order it was donated."
710731,Medium,,"Control, maintain and track the use of donated leave based on user defined criteria to include: used in consecutive days."
710732,Medium,,"Control, maintain and track the use of donated leave based on user defined criteria to include: certain earned leave is used  before donated leave."
710733,Medium,,"Control, maintain and track the use of donated leave based on user defined criteria to include: restore unused donated leave in  reverse order of donation."
710734,Medium,,"Control, maintain and track the use of donated leave based on user defined criteria to include: donated leave paid out to the  recipient while on unpaid leave."
710735,Medium,,"Control, maintain and track the use of donated leave based on user defined criteria to include: applies to eligible situations only."
,,,"Section:HRP-Leave Management, Leave Calculations and Payments (65 Reqs)"
710736,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: job class."
710737,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: organizational unit."
710738,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: effective dates."
710739,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: expiration dates."
710740,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: adjusted continuous service date."
710741,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: months of service (qualified regular hours)."
710742,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: accrual amount."
710743,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: date of accrual."
710744,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: minimum hours worked in a month."
710745,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: maximum hours accrued."
710746,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: maximum dollars paid."
,,,"Section:HRP-Leave Management, Leave Calculations and Payments (65 Reqs)"
710747,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: payout option available."
710748,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: actual hours."
710749,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: benefit accrual plan."
710750,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: blood donation leave hours."
710751,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: voting leave."
710752,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: sick leave used for bereavement."
710753,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: hazardous duty disability leave."
710754,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: FTE."
710755,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: may be taken in period accrued / earned (y/n)."
710756,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: increment taken allowed."
710757,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: FMLA (y/n)."
710758,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: carryover (y/n)."
710759,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: carryover amount."
710760,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: carryover period."
710761,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: scheduled hours."
710762,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: termination date."
710763,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: FLSA status."
710764,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: employee status."
,,,"Section:HRP-Leave Management, Leave Calculations and Payments (65 Reqs)"
710765,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: position status."
710766,Medium,,"Allow users to define leave accrual calculation and usage rules based on user-specified combinations of variables, by leave type  (with an override capability) based on: specialty pay."
710767,Medium,,Provide ability for authorized users to adjust leave amounts taken through corrections to time capture for impacted reporting  periods based on user defined business rules that may vary by agency.
710768,Medium,,"Allow the ability to override individual leave balances by entering specific leave adjustment transactions, which provide an audit  trail to the system calculated leave balance."
710769,Medium,,"Select payments for leave based on Agency, job class, leave type, accrual rate, and leave balance."
710770,Medium,,"Automatically update projected leave amounts available to reflect changes in employee accrual rates, rollovers, or leave without  pay."
710771,Medium,,"Automatically edit for required documentation (attachments) based on user defined business rules for various leave types by  agency, organization unit, or job class."
710772,Medium,,Automatically adjust existing leave balances for all applicable employees when accrual rules change (including retroactive  changes).
710773,Medium,,Designate leave taken in lieu of employees awaiting workers' compensation benefits.
710774,Medium,,Restore leave based on repayment of wages paid during the TTD (Worker's Comp) effective date.
710775,Medium,,"Allow leave payments for leave earned but not taken (e.g., active military duty, other than an employee termination) based on:  leave type."
710776,Medium,,"Allow leave payments for leave earned but not taken (e.g., active military duty, other than an employee termination) based on:  cutoff date (automatically)."
710777,Medium,,"Allow leave payments for leave earned but not taken (e.g., active military duty, other than an employee termination) based on:  request after a cutoff date."
710778,Medium,,"Allow leave payments for leave earned but not taken (e.g., active military duty, other than an employee termination) based on:  hours maximum for payoff, subject to available balance for that leave type."
710779,Medium,,"Allow leave payments for leave earned but not taken (e.g., active military duty, other than an employee termination) based on:  hours earned in excess of maximum."
710780,Medium,,"Allow leave payments for leave earned but not taken (e.g., active military duty, other than an employee termination) based on:  leave accrual rate."
710781,Medium,,"Allow termination of leave processing by leave type, by type of separation ( e.g., terminate, death, retire, etc.) to include: pay or  don't pay."
710782,Medium,,"Allow termination of leave processing by leave type, by type of separation ( e.g., terminate, death, retire, etc.) to include: lump  sum."
710783,Medium,,"Allow termination of leave processing by leave type, by type of separation ( e.g., terminate, death, retire, etc.) to include:  carryover for reinstatement on rehire."
,,,"Section:HRP-Leave Management, Leave Calculations and Payments (65 Reqs)"
710784,Medium,,"Allow termination of leave processing by leave type, by type of separation ( e.g., terminate, death, retire, etc.) to include: lose  leave balance upon termination."
710785,Medium,,"Allow termination of leave processing by leave type, by type of separation ( e.g., terminate, death, retire, etc.) to include: leave  balances to be forwarded to CPRB (retirement) for service conversion."
710786,Medium,,Allow for the roll-over of leave balances based on user-specified parameters.
710787,Medium,,Validate against leave accrued prior to usage and payment to ensure appropriate balance is available (or projected to be  available at time of use).
710788,Medium,,Establish non-exempt overtime (> 40 hours worked) at comp time earned at 1.5 for every hour of overtime worked.
710789,Low,,Capture employees working a designated State holiday to use the time off on an alternate work day(s).
710790,Medium,,Capture employees working a designated State holiday to earn comp time on user defined business rules.
710791,Medium,,Ability to mandate non-exempt comp time based on user defined business rules and employee groups.
710792,Medium,,Establish payments for specified employees that have reached the comp time maximum (thus reducing the comp time balance).
710793,Medium,,Trigger payment requests for specified employees who have accumulated a user specified number of hours of comp time.
710794,Medium,,Defer user defined comp time payments to a user-defined future date.
710795,Medium,,Pay accumulated holiday/comp time upon separation based on the current regular rate of pay for exempt and non-exempt  employees based on user defined parameters.
710796,Medium,,"Reinstate unused sick leave for appointments, reinstatement or re-employment of former employees who did not receive benefits  at time of separation."
710797,Medium,,Produce notices to Appointing Authorities/employees who have been on unpaid leave approaching user defined time frame.
710798,Medium,,Maintain and track effective date leave calculations for accrual and payment.
710799,Medium,,"Provide the ability to automatically initiate leave (any type) buyouts based on defined business rules that may vary by agency,  organization unit or job class."
710800,Medium,,"Project leave ""run out"" for any specified employees, including any additional accruals that will occur."
,,,"Section:HRP-Leave Management, Inquiry and Reporting (13 Reqs)"
710801,High,,"Calculate leave value, as of any point in time, estimates the liability (short and long term) of all outstanding leave balances to  support GASB 34 reporting of leave liability and provide the data to the GL module for posting the accrual transaction."
710802,Medium,,Generate exception reports after time input that will capture leave events such as: leave taken in the period.
710803,Medium,,Generate exception reports after time input that will capture leave events such as: unpaid leave in the period.
710804,Medium,,Generate exception reports after time input that will capture leave events such as: leave payouts in the period.
